101
# of Base Pair	Mean Quality Score
0 	 30.158167161502497
1 	 30.77720528169372
2 	 33.782204035502204
3 	 34.5935601898803
4 	 35.101562991337005
5 	 37.95055634567507
6 	 38.00725457312094
7 	 38.233991653083955
8 	 38.435973028085165
9 	 38.31674262399083
10 	 38.41839145780622
11 	 38.45483863468174
12 	 38.31101140386024
13 	 38.39652431012215
14 	 38.24892692015525
15 	 38.01057955827187
16 	 38.12035231920254
17 	 38.263343283732475
18 	 38.07170041321913
19 	 38.1715107804066
20 	 38.01708753968566
21 	 38.03197008501673
22 	 38.20326240509774
23 	 38.22003327297629
24 	 38.22972630435343
25 	 38.209789436923636
26 	 38.181214303275155
27 	 38.23132533042589
28 	 38.197060518658205
29 	 38.14904477530954
30 	 38.02546944021396
31 	 37.6550635093802
32 	 37.56962176136284
33 	 37.357055572708724
34 	 37.231140913076615
35 	 37.144485042652896
36 	 37.09589464857819
37 	 37.10797916463034
38 	 37.075362967818556
39 	 37.457104257248176
40 	 37.682022697327206
41 	 37.847287133909134
42 	 37.84119635376764
43 	 38.0037712603253
44 	 38.0235143090825
45 	 38.00344897250074
46 	 38.041583801159284
47 	 37.99733394988395
48 	 37.98582491044276
49 	 37.94463685131265
50 	 38.02447194466868
51 	 38.04598104095829
52 	 38.042156048560216
53 	 37.83795623930384
54 	 37.86720832053728
55 	 37.94643244350152
56 	 37.95871287872691
57 	 37.88353083201147
58 	 37.84963496506032
59 	 37.78302308209322
60 	 37.76064805647874
61 	 37.8040986438598
62 	 37.81441463197185
63 	 37.73644335991072
64 	 37.769974483046624
65 	 37.69932799808923
66 	 37.76248967248116
67 	 37.65897723485388
68 	 37.611728790900216
69 	 37.65978455663201
70 	 37.65415353561264
71 	 37.58724335402491
72 	 37.53196174495553
73 	 37.53241848133886
74 	 37.52765671245469
75 	 37.40949058220716
76 	 36.483108661664915
77 	 36.884562359521276
78 	 37.3137676378564
79 	 37.415903460219674
80 	 37.54053456530036
81 	 37.54712580417275
82 	 37.57309829639625
83 	 37.48450907617931
84 	 37.388948784357275
85 	 37.39533314181062
86 	 37.32983501696168
87 	 37.3359870942818
88 	 37.30411893998166
89 	 37.231391362678046
90 	 37.19434604415646
91 	 37.104815876734584
92 	 37.073283959455274
93 	 37.03168287803055
94 	 36.85190988984388
95 	 36.86780827362426
96 	 36.86915000901522
97 	 36.79507493990276
98 	 36.5446696059085
99 	 36.62407746349049
100 	 34.657985724221305
finished plot
